,id,BLOCK,B1,W1,B2,W2,B3,W3,B4,W4,B5,W5,B6,W6,B7,W7,B8,W8,B9,W9,B10,W10,B11,W11,B12,W12
34,34,1,5,8,5,3,5,8,5,8,5,8,9,3,9,8,5,8,5,3,1,8,9,3,5,2
35,35,1,7,3,7,2,8,2,8,3,7,2,7,2,7,6,7,2,7,3,7,2,8,2,9,2
36,36,1,3,8,2,7,2,8,3,8,2,8,2,7,1,8,2,8,3,7,2,8,2,8,2,5
37,37,1,8,3,7,2,8,2,8,3,8,2,7,2,8,1,8,2,7,3,8,2,8,2,9,2
38,38,1,8,3,7,2,8,2,8,3,8,2,7,2,8,1,8,2,7,3,8,2,8,2,9,2
39,39,1,3,9,2,7,1,9,1,8,2,9,1,9,1,9,1,8,1,9,1,8,2,9,1,9
40,40,1,3,9,2,7,1,9,1,8,2,9,1,9,1,9,1,8,1,9,1,8,2,9,1,9
41,41,1,7,3,7,3,8,3,8,3,7,2,7,3,7,1,7,2,7,3,7,3,8,3,9,2
42,42,1,7,3,7,3,8,3,8,3,7,2,7,3,7,1,7,2,7,3,7,3,8,3,9,2
43,43,1,5,3,4,3,5,3,4,3,4,2,6,3,4,2,5,2,5,2,4,3,4,3,4,2
44,44,1,5,6,4,6,5,3,4,6,4,5,6,3,4,6,5,6,4,5,4,3,4,6,4,6
45,45,1,5,6,4,6,5,3,4,6,4,5,6,3,4,6,5,6,4,5,4,3,4,6,4,6
46,46,1,8,5,4,5,8,5,4,5,4,5,9,6,4,6,8,5,4,5,4,1,4,6,4,5
47,47,1,6,8,2,6,2,8,4,8,2,8,2,6,4,8,2,8,4,1,2,8,2,8,2,6
48,48,1,9,5,3,5,9,1,3,1,9,5,9,1,9,1,2,1,9,1,3,1,9,8,9,1
49,49,1,5,9,2,6,1,9,1,5,2,9,2,9,1,9,1,6,1,9,1,8,2,9,1,9
50,50,1,9,5,7,5,9,5,8,5,9,5,9,1,9,1,7,5,9,5,7,1,9,2,9,5
51,51,1,9,5,3,5,9,1,3,1,9,5,9,1,9,1,2,1,9,1,3,1,9,8,9,1
52,52,1,9,5,3,5,9,1,3,1,9,5,9,1,9,1,2,1,9,1,3,1,9,8,9,1
53,53,1,9,3,7,3,9,3,8,3,9,5,9,3,9,1,7,1,9,3,7,3,9,3,9,5
54,54,1,9,3,7,2,9,1,8,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
55,55,1,9,3,7,2,9,3,8,3,9,2,9,3,9,6,7,2,9,3,7,3,9,3,9,2
56,56,1,8,9,4,5,8,9,8,5,8,9,7,9,8,9,8,5,4,9,8,1,8,9,4,9
57,57,1,9,3,7,3,9,3,8,3,9,5,9,3,9,1,7,1,9,3,7,3,9,3,9,5
58,58,1,8,3,7,2,8,1,8,1,8,2,9,1,8,1,8,1,9,1,8,1,8,2,9,1
59,59,1,9,8,3,7,9,8,3,8,9,8,9,7,9,8,5,8,9,7,3,8,9,8,9,5
60,60,1,9,3,7,2,9,1,8,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
61,61,1,3,9,3,5,3,9,3,5,8,9,3,9,8,9,8,5,3,9,3,1,3,9,2,9
62,62,1,9,3,7,2,9,1,8,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
63,63,1,8,5,7,5,8,5,8,5,8,5,9,7,8,7,8,5,9,5,8,7,8,4,9,5
64,64,1,9,8,3,7,9,8,3,8,9,8,9,7,9,8,5,8,9,7,3,8,9,8,9,5
65,65,1,8,9,7,5,8,9,8,5,8,9,7,9,8,9,8,5,7,9,8,1,8,9,4,9
66,66,1,3,7,4,7,3,5,4,5,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,5
67,67,1,3,7,4,7,3,5,4,5,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,5
68,68,1,3,9,4,6,3,9,4,8,4,9,3,9,4,9,2,8,4,9,4,8,4,9,4,9
69,69,1,8,5,7,5,8,1,8,1,8,5,7,1,8,1,8,1,7,1,8,1,8,2,9,1
70,70,1,5,8,5,7,5,1,5,1,5,8,6,1,6,1,5,1,5,1,2,1,6,8,5,1
71,71,1,9,3,7,3,9,3,4,3,9,5,9,3,9,1,8,5,9,3,8,3,9,3,9,5
72,72,1,8,3,4,3,8,3,8,4,8,5,7,3,8,1,8,5,4,3,8,3,8,3,4,5
73,73,1,9,5,7,5,9,5,4,5,9,5,9,3,9,1,7,5,9,5,7,3,9,3,9,5
74,74,1,8,3,4,3,8,3,8,4,8,5,7,3,8,1,8,5,4,3,8,3,8,3,4,5
75,75,1,8,3,4,3,8,3,8,4,8,5,7,3,8,1,8,5,4,3,8,3,8,3,4,5
76,76,1,8,3,4,3,8,3,8,4,8,5,7,3,8,1,8,5,4,3,8,3,8,3,4,5
77,77,1,9,7,6,2,9,1,6,1,9,2,9,1,9,1,6,1,9,1,3,1,9,2,9,1
78,78,1,9,5,7,4,9,2,4,1,9,4,9,2,9,4,7,2,9,4,7,4,9,4,9,2
79,79,1,9,3,7,3,9,3,4,3,9,5,9,3,9,1,7,5,9,3,7,3,9,3,9,5
80,80,1,3,5,4,5,3,5,4,5,4,5,3,9,4,9,2,5,4,5,4,1,4,9,4,5
81,81,1,5,9,5,2,5,1,5,1,5,9,3,1,4,1,5,1,5,1,3,1,3,9,5,1
82,82,1,8,3,4,3,8,3,8,3,8,5,7,3,8,1,8,5,4,3,8,3,8,3,4,5
83,83,1,3,5,4,5,3,5,4,5,4,5,3,1,4,1,2,5,4,5,4,3,4,3,4,5
84,84,1,8,3,4,3,8,3,8,3,8,5,7,3,8,1,8,5,4,3,8,3,8,3,4,5
85,85,1,9,3,7,2,9,1,8,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
86,86,1,3,7,3,4,3,1,3,4,9,4,3,7,6,4,6,7,3,4,3,4,3,4,6,4
87,87,1,8,3,7,2,8,1,8,1,8,2,7,1,8,1,8,1,7,1,8,1,8,2,4,1
88,88,1,7,3,7,2,8,1,8,1,7,2,7,1,7,1,7,1,7,1,7,1,6,2,6,1
89,89,1,3,9,4,5,3,9,3,8,4,9,3,9,4,9,2,8,4,9,4,8,4,9,4,9
90,90,1,6,3,6,2,9,1,6,1,9,2,6,1,6,1,6,1,9,1,8,1,6,2,6,1
91,91,1,8,5,7,5,8,5,8,5,8,5,7,9,8,9,8,5,7,5,8,1,8,9,4,5
92,92,1,9,3,7,2,9,2,6,3,9,2,9,2,9,1,7,2,9,3,7,2,9,2,9,2
93,93,1,8,3,4,2,8,1,8,1,8,2,3,2,8,1,8,1,4,1,8,1,8,2,4,1
94,94,1,9,7,7,2,9,2,6,3,9,2,9,2,9,1,7,2,9,3,7,2,9,2,9,2
95,95,1,9,3,7,2,9,1,6,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
96,96,1,9,3,7,2,9,1,5,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
97,97,1,6,3,6,2,9,1,6,1,9,2,6,1,6,1,6,1,9,1,8,1,6,2,6,1
98,98,1,3,8,4,7,2,8,4,8,4,8,2,7,4,8,2,8,4,7,4,8,4,8,4,9
99,99,1,7,3,7,3,8,3,8,3,7,2,7,3,7,1,7,2,7,3,7,3,8,3,4,2
100,100,1,9,3,7,2,9,1,6,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
101,101,1,3,7,2,7,2,8,4,8,2,7,2,7,4,7,2,7,3,7,3,7,2,8,2,9
102,102,1,3,7,2,7,2,8,3,8,2,7,2,7,1,7,2,7,3,7,2,7,2,8,2,9
103,103,1,8,3,4,2,8,1,8,1,8,2,3,2,8,1,8,1,4,1,8,1,8,2,4,1
104,104,1,5,3,5,2,5,1,5,1,5,2,6,1,6,1,5,1,5,1,4,1,6,2,5,1
105,105,1,9,3,7,2,9,1,6,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
106,106,1,9,3,7,2,9,1,6,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
107,107,1,9,7,5,7,9,1,5,1,9,7,9,1,9,1,5,1,9,1,3,1,9,8,9,1
108,108,1,3,5,4,2,3,1,4,1,4,2,3,1,4,1,2,5,4,1,4,1,4,2,4,2
109,109,1,9,3,7,2,9,1,6,1,9,2,9,1,9,1,7,1,9,1,7,1,9,2,9,1
110,110,1,3,8,2,6,2,8,3,6,2,8,2,6,9,8,2,8,9,1,2,8,2,8,2,6
111,111,1,8,5,6,5,8,5,8,5,8,5,6,7,8,7,8,5,3,5,8,7,8,4,6,5
112,112,1,9,8,2,6,2,8,3,8,2,8,2,6,9,8,2,8,9,1,2,8,2,8,2,6
113,113,1,8,3,6,2,8,1,8,1,8,2,6,1,8,1,8,1,3,1,8,1,8,2,6,1
114,114,1,8,3,4,2,8,1,8,1,8,2,3,2,8,1,8,1,4,1,8,1,8,2,4,1
115,115,1,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
116,116,1,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
117,117,1,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
118,118,1,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
119,119,1,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
120,120,1,3,9,3,4,3,9,3,1,8,9,3,9,6,9,6,1,3,9,3,1,3,9,6,9
121,121,1,9,6,7,6,9,5,4,6,9,5,9,6,9,6,7,6,9,5,7,1,9,6,9,6
122,122,1,9,6,7,6,9,5,4,6,9,5,9,6,9,6,7,6,9,5,7,1,9,6,9,6
123,123,1,3,5,4,2,3,1,4,1,4,2,3,1,4,1,2,5,4,1,4,1,4,2,4,2
124,124,1,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
125,125,1,3,5,4,2,3,1,4,1,4,2,3,1,4,1,2,5,4,1,4,1,4,2,4,2
126,126,1,7,3,7,3,9,3,4,3,7,4,7,3,7,6,7,6,7,3,7,3,9,3,9,3
127,127,1,3,9,2,7,2,9,3,8,2,9,2,9,1,9,2,8,3,9,2,8,2,9,2,9
128,128,1,3,5,4,2,3,1,4,1,4,2,3,1,4,1,2,5,4,1,4,1,4,2,4,2
129,129,1,9,3,5,3,9,3,5,8,9,8,9,3,9,8,5,8,9,3,7,3,9,3,9,1
130,130,1,5,9,5,7,5,1,5,1,5,9,6,1,6,9,5,1,5,1,4,1,6,9,5,1
131,131,,8,3,7,2,8,2,8,3,8,2,7,2,8,1,8,2,7,3,8,2,8,2,4,2
132,132,,5,9,5,7,5,1,5,1,5,9,6,1,6,9,5,1,5,1,4,1,6,9,5,1
133,133,,7,3,4,2,5,1,4,1,4,2,7,1,4,1,7,1,4,1,4,1,4,2,4,1
134,134,,8,3,7,2,8,2,8,3,8,2,7,2,8,1,8,2,7,3,8,2,8,2,4,2
135,135,,7,3,7,3,9,3,4,3,7,4,7,3,7,6,7,6,7,3,7,3,9,3,9,3
136,136,,7,3,7,3,9,3,4,3,7,4,7,3,7,6,7,6,7,3,7,3,9,3,9,3
137,137,,9,8,7,6,9,8,4,8,9,8,9,6,9,8,7,8,9,1,7,8,9,8,9,6
138,138,,9,6,7,6,9,5,4,6,9,5,9,6,9,6,7,6,9,5,7,1,9,6,9,6
139,139,,7,3,7,3,9,3,4,3,7,4,7,3,7,6,7,6,7,3,7,3,9,3,9,3
140,140,,7,3,7,3,9,3,4,3,7,4,7,3,7,6,7,6,7,3,7,3,9,3,9,3
141,141,,3,9,4,7,2,9,4,8,4,9,2,9,4,9,2,8,4,9,4,8,4,9,4,9
142,142,,3,7,4,7,3,1,4,6,4,7,3,7,4,7,2,7,4,7,4,7,4,6,4,6
143,143,,5,3,5,2,5,1,5,1,5,2,7,1,7,1,5,1,5,1,7,1,6,2,5,1
144,144,,3,9,4,7,2,9,4,8,4,9,2,9,4,9,2,8,4,9,4,8,4,9,4,9
145,145,,7,3,7,2,9,2,4,1,7,2,7,2,7,1,7,2,7,1,7,1,9,2,9,2
146,146,,3,8,4,6,3,8,4,8,4,8,3,9,4,8,7,8,4,9,4,8,4,8,4,9
147,147,,9,3,7,4,9,2,8,4,9,4,9,2,9,4,7,2,9,4,8,2,9,4,9,4
148,148,,7,3,7,3,9,3,8,3,7,2,7,3,7,1,7,2,7,3,7,3,9,3,9,2
149,149,,3,9,3,7,3,9,3,5,2,9,3,9,6,9,6,7,3,9,3,7,3,9,6,9
150,150,,3,5,4,5,3,1,4,1,4,5,3,1,4,1,2,1,4,1,4,1,4,2,4,1
